rx_timestamp (us),latency (ms),per_ue_loss_pct (%),ipg (ms),tx_equipment_id,tx_seq_num,tx_priority,tx_timestamp (us),channel_busy_percentage,packet_size,avg_throughput(10ms),avg_throughput(100ms),avg_packet_loss(10ms),avg_packet_loss(100ms),extra
0,45,0.02,100,UE2,1,2,-45000,18,128,10240,10240,0.02,0.02,0
100000,47,0.02,100,UE2,2,2,53000,19,128,10240,10240,0.02,0.02,0
200000,49,0.03,100,UE2,3,2,151000,20,128,10240,10240,0.03,0.02,0
300000,51,0.03,100,UE2,4,2,249000,21,128,10240,10240,0.03,0.03,0
400000,55,0.04,100,UE2,5,2,345000,22,128,10240,10240,0.04,0.03,0
500000,58,0.05,100,UE2,6,2,442000,23,128,10240,10240,0.05,0.04,0
600000,62,0.05,100,UE2,7,2,538000,25,128,10240,10240,0.05,0.04,0
700000,66,0.06,100,UE2,8,2,634000,28,128,10240,10240,0.06,0.05,0
800000,72,0.08,100,UE2,9,2,728000,31,128,10240,10240,0.08,0.06,0
900000,81,0.11,100,UE2,10,2,819000,35,128,10240,10240,0.11,0.08,0
1000000,86,0.13,100,UE2,11,2,914000,38,128,10240,10240,0.13,0.10,0
1100000,88,0.14,100,UE2,12,2,1012000,40,128,10240,10240,0.14,0.11,0
1200000,90,0.16,100,UE2,13,2,1110000,42,128,10240,10240,0.16,0.13,0
1300000,83,0.12,100,UE2,14,2,1217000,37,128,10240,10240,0.12,0.13,0
1400000,77,0.10,100,UE2,15,2,1323000,33,128,10240,10240,0.10,0.12,0
1500000,70,0.07,100,UE2,16,2,1430000,29,128,10240,10240,0.07,0.10,0
1600000,65,0.06,100,UE2,17,2,1535000,26,128,10240,10240,0.06,0.09,0
1700000,59,0.05,100,UE2,18,2,1641000,24,128,10240,10240,0.05,0.07,0
1800000,54,0.04,100,UE2,19,2,1746000,22,128,10240,10240,0.04,0.06,0
1900000,50,0.03,100,UE2,20,2,1850000,20,128,10240,10240,0.03,0.05,0
